Loading dataset...
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./data/raw/cifar-10-python.tar.gz
100% 170498071/170498071 [00:06<00:00, 24857119.72it/s]
Extracting ./data/raw/cifar-10-python.tar.gz to ./data/raw
Creating retain/forget splits...
  Retain set size: 45000
  Forget set size: 5000
  Retain train: 40500, Retain val: 4500
  Forget train: 4500, Forget val: 500
Creating data loaders...
Data loaders created. Training will start now...
Configuration: epochs=5, batch_size=32, device=cuda
Running fine-tuning unlearning...
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)

[Fine-tune 1/5] Starting epoch...
Epoch: [3][639/1266]	Loss 1.7037 (1.2750)	Accuracy 40.625 (54.014)	Time 0.77
Epoch: [3][659/1266]	Loss 1.4461 (1.2757)	Accuracy 46.875 (54.058)	Time 0.77
Epoch: [3][679/1266]	Loss 1.2226 (1.2746)	Accuracy 43.750 (54.173)	Time 0.78
Epoch: [3][699/1266]	Loss 0.9136 (1.2738)	Accuracy 68.750 (54.196)	Time 0.78
Epoch: [3][719/1266]	Loss 1.4610 (1.2741)	Accuracy 46.875 (54.223)	Time 0.77
Epoch: [3][739/1266]	Loss 1.0725 (1.2759)	Accuracy 59.375 (54.117)	Time 0.77
Epoch: [3][759/1266]	Loss 1.5272 (1.2763)	Accuracy 50.000 (54.083)	Time 0.77
Epoch: [3][779/1266]	Loss 1.5784 (1.2772)	Accuracy 43.750 (54.062)	Time 0.77
Epoch: [3][799/1266]	Loss 1.2569 (1.2765)	Accuracy 68.750 (54.059)	Time 0.77
Epoch: [3][819/1266]	Loss 0.9648 (1.2763)	Accuracy 65.625 (54.070)	Time 0.77
Epoch: [3][839/1266]	Loss 1.2125 (1.2759)	Accuracy 65.625 (54.092)	Time 0.77
Epoch: [3][859/1266]	Loss 1.0008 (1.2765)	Accuracy 62.500 (54.135)	Time 0.77
Epoch: [3][879/1266]	Loss 1.6432 (1.2747)	Accuracy 46.875 (54.197)	Time 0.82
Epoch: [3][899/1266]	Loss 1.3296 (1.2749)	Accuracy 62.500 (54.215)	Time 0.82
Epoch: [3][919/1266]	Loss 1.2857 (1.2755)	Accuracy 37.500 (54.147)	Time 0.82
Epoch: [3][939/1266]	Loss 1.1527 (1.2756)	Accuracy 62.500 (54.132)	Time 0.77
Epoch: [3][959/1266]	Loss 1.0362 (1.2757)	Accuracy 68.750 (54.128)	Time 0.78
Epoch: [3][979/1266]	Loss 1.3424 (1.2755)	Accuracy 46.875 (54.120)	Time 0.78
Epoch: [3][999/1266]	Loss 1.1192 (1.2741)	Accuracy 56.250 (54.241)	Time 0.77
Epoch: [3][1019/1266]	Loss 1.8412 (1.2739)	Accuracy 34.375 (54.231)	Time 0.78
Epoch: [3][1039/1266]	Loss 1.1616 (1.2731)	Accuracy 62.500 (54.279)	Time 0.77
